Date, Open , High , Low , Close ,Adj Close,Volume
11/4/2011,6.29,6.48,6.10,6.46,6.46,15164500.00
11/7/2011,6.33,6.40,6.15,6.25,6.25,6331500.00
11/8/2011,6.27,6.40,6.14,6.37,6.37,5839500.00
11/9/2011,6.17,6.30,6.06,6.18,6.18,4768500.00
11/10/2011,6.19,6.30,6.13,6.27,6.27,3736500.00
11/11/2011,6.38,6.90,6.11,6.73,6.73,19341500.00
11/14/2011,6.60,6.71,6.52,6.64,6.64,6628500.00
11/15/2011,6.58,6.88,6.55,6.79,6.79,4455000.00
11/16/2011,6.70,7.00,6.68,6.99,6.99,9166000.00
11/17/2011,6.90,6.98,6.64,6.74,6.74,6746500.00
11/18/2011,6.73,6.82,6.51,6.52,6.52,4514000.00
11/21/2011,6.49,6.49,6.21,6.35,6.35,5158000.00
11/22/2011,6.35,6.56,6.21,6.41,6.41,3663000.00
11/23/2011,6.35,6.41,6.25,6.29,6.29,2259000.00
11/25/2011,6.31,6.48,6.22,6.33,6.33,1198000.00
11/28/2011,6.40,6.66,6.36,6.51,6.51,3406000.00
11/29/2011,6.50,6.61,6.33,6.35,6.35,2955500.00
11/30/2011,6.50,6.59,6.44,6.55,6.55,3801500.00
12/1/2011,6.51,6.80,6.40,6.52,6.52,5151000.00
12/2/2011,6.57,6.74,6.48,6.66,6.66,4014000.00
12/5/2011,6.71,7.00,6.69,6.88,6.88,5800500.00
12/6/2011,6.84,7.00,6.81,6.97,6.97,4759000.00
12/7/2011,6.93,6.98,6.76,6.84,6.84,3371500.00
12/8/2011,6.17,6.33,5.92,6.18,6.18,16529000.00
12/9/2011,6.11,6.22,6.06,6.21,6.21,6197500.00
12/12/2011,6.09,6.12,6.00,6.08,6.08,3793500.00
12/13/2011,6.11,6.19,5.78,5.89,5.89,4970500.00
12/14/2011,5.90,5.94,5.60,5.71,5.71,5819500.00
12/15/2011,5.73,5.83,5.62,5.72,5.72,3501500.00
12/16/2011,5.76,5.79,5.60,5.60,5.60,5148500.00
12/19/2011,5.62,5.70,5.47,5.55,5.55,4935000.00
12/20/2011,5.61,5.69,5.54,5.58,5.58,4216500.00
12/21/2011,5.58,5.61,5.21,5.51,5.51,8527500.00
12/22/2011,5.52,5.61,5.46,5.55,5.55,5047000.00
12/23/2011,5.60,5.60,5.50,5.58,5.58,2957000.00
12/27/2011,5.53,5.75,5.53,5.71,5.71,3887500.00
12/28/2011,5.80,5.85,5.61,5.70,5.70,2876000.00
12/29/2011,5.72,5.87,5.71,5.75,5.75,2441000.00
12/30/2011,5.70,5.80,5.65,5.71,5.71,1699000.00
1/3/2012,5.79,5.90,5.53,5.62,5.62,4640500.00
1/4/2012,5.64,5.73,5.50,5.54,5.54,3150500.00
1/5/2012,5.55,5.59,5.37,5.42,5.42,5027500.00
1/6/2012,5.44,5.56,5.28,5.38,5.38,4931500.00
1/9/2012,5.40,5.50,5.22,5.45,5.45,4485000.00
1/10/2012,5.49,5.55,5.45,5.52,5.52,3359000.00
1/11/2012,5.52,5.68,5.46,5.65,5.65,3361500.00
1/12/2012,5.70,5.72,5.56,5.65,5.65,3646500.00
1/13/2012,5.68,5.70,4.53,4.56,4.56,27502000.00
1/17/2012,5.32,5.47,5.28,5.32,5.32,23258000.00
1/18/2012,5.34,5.38,5.25,5.36,5.36,6301000.00
1/19/2012,5.44,5.55,5.32,5.35,5.35,6231500.00
1/20/2012,5.38,5.40,5.28,5.32,5.32,3311500.00
1/23/2012,5.36,5.44,5.32,5.35,5.35,2973000.00
1/24/2012,5.33,5.54,5.29,5.48,5.48,4290000.00
1/25/2012,5.45,5.60,5.41,5.59,5.59,3056000.00
1/26/2012,5.61,5.92,5.60,5.79,5.79,6355500.00
1/27/2012,5.70,5.94,5.70,5.87,5.87,3742000.00
1/30/2012,5.90,5.92,5.71,5.91,5.91,3645000.00
1/31/2012,5.98,6.00,5.77,5.81,5.81,4782000.00
2/1/2012,5.81,5.94,5.80,5.92,5.92,2616000.00
2/2/2012,5.94,6.18,5.92,6.05,6.05,4028500.00
2/3/2012,6.08,6.27,6.05,6.23,6.23,3822500.00
2/6/2012,6.22,6.38,6.21,6.36,6.36,3260500.00
2/7/2012,6.36,6.36,6.16,6.32,6.32,5108000.00
2/8/2012,6.32,6.40,6.26,6.39,6.39,3118500.00
2/9/2012,6.40,6.58,6.29,6.52,6.52,6385500.00
2/10/2012,6.45,6.45,5.97,6.22,6.22,9371000.00
2/13/2012,6.31,6.41,6.18,6.30,6.30,5789500.00
2/14/2012,6.35,6.76,6.28,6.63,6.63,9054000.00
2/15/2012,6.62,6.88,6.45,6.72,6.72,13809000.00
2/16/2012,6.70,6.90,6.51,6.84,6.84,11098500.00
2/17/2012,6.80,6.99,6.70,6.99,6.99,6883500.00
2/21/2012,6.97,6.97,6.76,6.90,6.90,5679000.00
2/22/2012,6.90,6.94,6.50,6.84,6.84,8273000.00
